"","geo","model","value","X"
"2001","modern","FAVEE",-0.00470478809003337,"modern_FAVEE"
"2002","modern","FAVEE",0.00219496349312248,"modern_FAVEE"
"2003","modern","FAVEE",-0.00900387034706012,"modern_FAVEE"
"2004","modern","FAVEE",-0.00377520827864348,"modern_FAVEE"
"2005","modern","FAVEE",-0.0151625647751551,"modern_FAVEE"
"2006","modern","FAVEE",0.0115633924111474,"modern_FAVEE"
"2007","modern","FAVEE",0.00797910550215695,"modern_FAVEE"
"2008","modern","FAVEE",-0.00360716487418956,"modern_FAVEE"
"2009","modern","FAVEE",-0.00317092863755864,"modern_FAVEE"
"2010","modern","FAVEE",0.00201943919186965,"modern_FAVEE"
"2011","modern","FAVEE",0.00792560147572246,"modern_FAVEE"
"2012","modern","FAVEE",-0.00302401138839663,"modern_FAVEE"
"2013","modern","FAVEE",-0.00171557519047463,"modern_FAVEE"
"2014","modern","FAVEE",0.0106361340653701,"modern_FAVEE"
"2015","modern","FAVEE",-0.00756688299084349,"modern_FAVEE"
"2016","modern","FAVEE",-0.014789248802454,"modern_FAVEE"
"2017","modern","FAVEE",-0.00140067868740395,"modern_FAVEE"
"2018","modern","FAVEE",0.00478471719771016,"modern_FAVEE"
"2019","modern","FAVEE",-0.00284369895067656,"modern_FAVEE"
"2020","modern","FAVEE",0.0121147117428637,"modern_FAVEE"
"2021","modern","FAVEE",-0.00902462182680257,"modern_FAVEE"
"2022","modern","FAVEE",-0.00662451949289821,"modern_FAVEE"
"2023","modern","FAVEE",0.0116184989795685,"modern_FAVEE"
"2024","modern","FAVEE",-0.00435144174454814,"modern_FAVEE"
"2025","modern","FAVEE",-0.00158271350192008,"modern_FAVEE"
"2026","modern","FAVEE",-0.00525401619352361,"modern_FAVEE"
"2027","modern","FAVEE",0.00698585709851042,"modern_FAVEE"
"2028","modern","FAVEE",-0.00114832782953437,"modern_FAVEE"
"2029","modern","FAVEE",-0.00193511190803743,"modern_FAVEE"
"2030","modern","FAVEE",-0.00980405876438228,"modern_FAVEE"
"2031","modern","FAVEE",-0.00170513047030055,"modern_FAVEE"
"2032","modern","FAVEE",0.0176510797996261,"modern_FAVEE"
"2033","modern","FAVEE",0.00697522981349854,"modern_FAVEE"
"2034","modern","FAVEE",-0.00791864091428058,"modern_FAVEE"
"2035","modern","FAVEE",-0.00241123597638653,"modern_FAVEE"
"2036","modern","FAVEE",0.011770476252141,"modern_FAVEE"
"2037","modern","FAVEE",-0.00502744070085593,"modern_FAVEE"
"2038","modern","FAVEE",0.00648848394333297,"modern_FAVEE"
"2039","modern","FAVEE",0.00671099155844532,"modern_FAVEE"
"2040","modern","FAVEE",-0.00180506682048185,"modern_FAVEE"
"2041","modern","FAVEE",0.00726744767830789,"modern_FAVEE"
"2042","modern","FAVEE",0.00637688230799759,"modern_FAVEE"
"2043","modern","FAVEE",-0.00747419335103752,"modern_FAVEE"
"2044","modern","FAVEE",0.00589286101774327,"modern_FAVEE"
"2045","modern","FAVEE",0.000439153467050287,"modern_FAVEE"
"2046","modern","FAVEE",-0.00835350160753278,"modern_FAVEE"
"2047","modern","FAVEE",-0.00409230510564162,"modern_FAVEE"
"2048","modern","FAVEE",-0.00748590548484046,"modern_FAVEE"
"2049","modern","FAVEE",-0.000649678908088417,"modern_FAVEE"
"2050","modern","FAVEE",0.00324626157742817,"modern_FAVEE"
"2051","modern","FAVEE",-0.00144739284171269,"modern_FAVEE"
"2052","modern","FAVEE",0.0100196372114772,"modern_FAVEE"
"2053","modern","FAVEE",-0.00238999450352901,"modern_FAVEE"
"2054","modern","FAVEE",-0.0114266979121816,"modern_FAVEE"
"2055","modern","FAVEE",-0.00252251100646587,"modern_FAVEE"
"2056","modern","FAVEE",0.00768215990126088,"modern_FAVEE"
"2057","modern","FAVEE",-0.00828850076925391,"modern_FAVEE"
"2058","modern","FAVEE",-0.00240177209475278,"modern_FAVEE"
"2059","modern","FAVEE",0.00631307118107067,"modern_FAVEE"
"2060","modern","FAVEE",-0.00837028157758945,"modern_FAVEE"
"2061","modern","FAVEE",0.00378374325583642,"modern_FAVEE"
"2062","modern","FAVEE",0.00325894520276994,"modern_FAVEE"
"2063","modern","FAVEE",0.00625281907411897,"modern_FAVEE"
"2064","modern","FAVEE",0.00588400344115207,"modern_FAVEE"
"2065","modern","FAVEE",-0.000170430696821707,"modern_FAVEE"
"2066","modern","FAVEE",0.0104835976773279,"modern_FAVEE"
"2067","modern","FAVEE",-0.00490948000777395,"modern_FAVEE"
"2068","modern","FAVEE",-0.00752793801304252,"modern_FAVEE"
"2069","modern","FAVEE",-0.00167136279378912,"modern_FAVEE"
"2070","modern","FAVEE",0.00391756464563915,"modern_FAVEE"
"2071","modern","FAVEE",0.00453606692853455,"modern_FAVEE"
"2072","modern","FAVEE",0.00261081840831654,"modern_FAVEE"
"2073","modern","FAVEE",-0.00511525975739117,"modern_FAVEE"
"2074","modern","FAVEE",-0.00688544214775995,"modern_FAVEE"
"2075","modern","FAVEE",-0.000719656044509077,"modern_FAVEE"
"2076","modern","FAVEE",0.00347834725532633,"modern_FAVEE"
"2077","modern","FAVEE",0.00776132960057876,"modern_FAVEE"
"2078","modern","FAVEE",-0.0135019395837238,"modern_FAVEE"
"2079","modern","FAVEE",-0.00560092035261061,"modern_FAVEE"
"2080","modern","FAVEE",0.00491438479709272,"modern_FAVEE"
"2081","modern","FAVEE",-0.0152609096349716,"modern_FAVEE"
"2082","modern","FAVEE",-0.00256113491902688,"modern_FAVEE"
"2083","modern","FAVEE",-0.00667176511941683,"modern_FAVEE"
"2084","modern","FAVEE",-0.00881528791537808,"modern_FAVEE"
"2085","modern","FAVEE",-0.00211899072401048,"modern_FAVEE"
"2086","modern","FAVEE",-0.00690479214548424,"modern_FAVEE"
"2087","modern","FAVEE",-0.0168920259449242,"modern_FAVEE"
"2088","modern","FAVEE",0.000223453224832443,"modern_FAVEE"
"2089","modern","FAVEE",0.016480324621278,"modern_FAVEE"
"2090","modern","FAVEE",-0.0158557116154084,"modern_FAVEE"
"2091","modern","FAVEE",0.00455070478744819,"modern_FAVEE"
"2092","modern","FAVEE",-0.0196772985506684,"modern_FAVEE"
"2093","modern","FAVEE",-0.0106176687087786,"modern_FAVEE"
"2094","modern","FAVEE",-0.00231513144225461,"modern_FAVEE"
"2095","modern","FAVEE",-0.00711696569869255,"modern_FAVEE"
"2096","modern","FAVEE",-0.00242849775738069,"modern_FAVEE"
"2097","modern","FAVEE",-0.00166686626104041,"modern_FAVEE"
"2098","modern","FAVEE",-0.0108839739296284,"modern_FAVEE"
"2099","modern","FAVEE",-0.00497498649326464,"modern_FAVEE"
"2100","modern","FAVEE",0.00194706109770819,"modern_FAVEE"
"2101","modern","FAVEE",0.0028849237161229,"modern_FAVEE"
"2102","modern","FAVEE",0.00818066665737096,"modern_FAVEE"
"2103","modern","FAVEE",-0.00729241022371374,"modern_FAVEE"
"2104","modern","FAVEE",-0.00167362465451065,"modern_FAVEE"
"2105","modern","FAVEE",0.00900121054272157,"modern_FAVEE"
"2106","modern","FAVEE",-0.00585446944493381,"modern_FAVEE"
"2107","modern","FAVEE",0.000974944985986781,"modern_FAVEE"
"2108","modern","FAVEE",0.0196821302685956,"modern_FAVEE"
"2109","modern","FAVEE",-0.00304243731143773,"modern_FAVEE"
"2110","modern","FAVEE",-0.00419586726850489,"modern_FAVEE"
"2111","modern","FAVEE",-0.0132135355512193,"modern_FAVEE"
"2112","modern","FAVEE",-0.000507974842473984,"modern_FAVEE"
"2113","modern","FAVEE",-0.00530289447698805,"modern_FAVEE"
"2114","modern","FAVEE",-0.00521913380895494,"modern_FAVEE"
"2115","modern","FAVEE",-0.00877248316575426,"modern_FAVEE"
"2116","modern","FAVEE",0.01339341632225,"modern_FAVEE"
"2117","modern","FAVEE",0.014163216018308,"modern_FAVEE"
"2118","modern","FAVEE",0.00284596797080349,"modern_FAVEE"
"2119","modern","FAVEE",0.0051363975325117,"modern_FAVEE"
"2120","modern","FAVEE",0.00023503810872743,"modern_FAVEE"
"2121","modern","FAVEE",0.0103746243676755,"modern_FAVEE"
"2122","modern","FAVEE",0.0114908017792406,"modern_FAVEE"
"2123","modern","FAVEE",0.00066649873785058,"modern_FAVEE"
"2124","modern","FAVEE",0.0116548162283035,"modern_FAVEE"
"2125","modern","FAVEE",0.00319409888832437,"modern_FAVEE"
"2126","modern","FAVEE",0.00195626593387181,"modern_FAVEE"
"2127","modern","FAVEE",-0.000252316282487135,"modern_FAVEE"
"2128","modern","FAVEE",0.0187184066562175,"modern_FAVEE"
"2129","modern","FAVEE",0.010926580147804,"modern_FAVEE"
"2130","modern","FAVEE",0.00208015555216938,"modern_FAVEE"
"2131","modern","FAVEE",-0.0182756867825039,"modern_FAVEE"
