"","geo","model","value"
"5001","modern","Formality",-0.0194738655518654
"5002","modern","Formality",-0.00623682419536757
"5003","modern","Formality",-0.00692302973638874
"5004","modern","Formality",-0.00730472891825228
"5005","modern","Formality",-0.0020620710361709
"5006","modern","Formality",-0.00410997684782616
"5007","modern","Formality",0.00297778830679585
"5008","modern","Formality",0.0099628044592747
"5009","modern","Formality",-0.00760941602398603
"5010","modern","Formality",-0.0134231090754421
"5011","modern","Formality",0.0346635508933591
"5012","modern","Formality",-0.00987520367937326
"5013","modern","Formality",-0.0123291295139731
"5014","modern","Formality",0.000630542442471323
"5015","modern","Formality",-0.00918861334872197
"5016","modern","Formality",0.000383251579601945
"5017","modern","Formality",-0.0153072442839733
"5018","modern","Formality",0.0117252631012676
"5019","modern","Formality",-0.00795977689741784
"5020","modern","Formality",0.00212866114880807
"5021","modern","Formality",0.00729483828491785
"5022","modern","Formality",-0.00815516721338049
"5023","modern","Formality",-0.00319195606692286
"5024","modern","Formality",0.0107918151654152
"5025","modern","Formality",-0.0151357522621211
"5026","modern","Formality",0.000899070005261292
"5027","modern","Formality",-0.0142060194042356
"5028","modern","Formality",0.0111517035312296
"5029","modern","Formality",0.00670505141114586
"5030","modern","Formality",-0.00501908175412284
"5031","modern","Formality",-0.00542964922114343
"5032","modern","Formality",0.00780420983647305
"5033","modern","Formality",0.00401225499833144
"5034","modern","Formality",0.0135439345534578
"5035","modern","Formality",-0.0105071445071358
"5036","modern","Formality",0.00339870975136806
"5037","modern","Formality",0.0066281412997224
"5038","modern","Formality",0.0060950993617954
"5039","modern","Formality",0.0020646802701062
"5040","modern","Formality",-0.0109180276698423
"5041","modern","Formality",0.0221294304144182
"5042","modern","Formality",-0.00201984108452379
"5043","modern","Formality",0.010628310795577
"5044","modern","Formality",-0.00490925925944066
"5045","modern","Formality",-0.00591803348714328
"5046","modern","Formality",-0.00548492468902928
"5047","modern","Formality",-0.0106930086660018
"5048","modern","Formality",-0.00597587457909421
"5049","modern","Formality",-0.00511757136461612
"5050","modern","Formality",-0.00849081567916938
"5051","modern","Formality",-0.00335654463211433
"5052","modern","Formality",-0.0050368538416244
"5053","modern","Formality",0.00390947167649889
"5054","modern","Formality",-0.0104339795034074
"5055","modern","Formality",-0.00397467138715009
"5056","modern","Formality",-0.0119690806013336
"5057","modern","Formality",0.0131480540668268
"5058","modern","Formality",-0.00302370861941492
"5059","modern","Formality",0.023345539772562
"5060","modern","Formality",0.00652833910316141
"5061","modern","Formality",0.000126787501276144
"5062","modern","Formality",-0.00654809153333629
"5063","modern","Formality",-0.0002703318465931
"5064","modern","Formality",0.0136099939609643
"5065","modern","Formality",0.000460891268528471
"5066","modern","Formality",-0.0107192263801805
"5067","modern","Formality",-0.0116736945007606
"5068","modern","Formality",-0.000516016104797444
"5069","modern","Formality",-0.00725568602528424
"5070","modern","Formality",-0.00481109531666225
"5071","modern","Formality",0.0103734858801646
"5072","modern","Formality",-0.00753803959314332
"5073","modern","Formality",0.0112152736532516
"5074","modern","Formality",-0.0045664483199313
"5075","modern","Formality",0.00358836166184781
"5076","modern","Formality",-0.00369732213002696
"5077","modern","Formality",-0.00723058784892046
"5078","modern","Formality",-0.0182842736085653
"5079","modern","Formality",0.00827790112750178
"5080","modern","Formality",0.00907510279430527
"5081","modern","Formality",0.0143135884476565
"5082","modern","Formality",0.00157631986879104
"5083","modern","Formality",-0.0142478163539074
"5084","modern","Formality",0.00560705886089629
"5085","modern","Formality",-0.0177650305154234
"5086","modern","Formality",-0.0132262944355488
"5087","modern","Formality",0.014134628313658
"5088","modern","Formality",0.00565638764710473
"5089","modern","Formality",-0.0120095928638905
"5090","modern","Formality",0.0122643085415498
"5091","modern","Formality",-0.0116166284144447
